location,Death Valley National Park,Death Valley National Park,Death Valley National Park,Death Valley National Park
lat,36.11240,36.11240,36.11240,36.11240
lon,-117.33333,-117.33333,-117.33333,-117.33333
asl,1147.952,1147.952,1147.952,1147.952
variable,Temperature,Temperature,Temperature,Precipitation Total
unit,°C,°C,°C,mm
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc
resolution,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation
timestamp,Death Valley National Park Temperature [2 m elevation corrected],Death Valley National Park Temperature [2 m elevation corrected],Death Valley National Park Temperature [2 m elevation corrected],Death Valley National Park Precipitation Total
20190411T0000,11.92119,6.5111895,9.624106,0.0
20190412T0000,13.73119,2.8111897,8.422023,0.4
20190413T0000,16.30119,4.871189,10.924939,0.0
20190414T0000,19.64119,9.66119,13.74744,0.0
20190415T0000,18.31119,7.41119,12.477021,0.0
20190416T0000,10.761189,5.36119,7.008272,4.2
20190417T0000,18.201189,5.16119,11.770356,0.0
20190418T0000,21.72119,7.791189,15.682023,0.0
20190419T0000,23.49119,8.4711895,17.13036,0.0
20190420T0000,21.17119,11.341189,15.600772,0.0
20190421T0000,17.48119,6.3011894,12.469106,0.0
20190422T0000,18.51119,8.041189,13.624524,0.3
20190423T0000,22.83119,10.381189,17.126604,0.0
20190424T0000,25.73119,11.791189,19.89994,0.0
20190425T0000,26.34119,14.50119,21.304937,0.0
20190426T0000,26.66119,14.791189,20.664108,0.0
20190427T0000,24.361189,14.531189,20.103685,0.0
20190428T0000,24.30119,13.021189,18.644941,0.0
20190429T0000,16.99119,9.461189,12.377857,0.9
20190430T0000,18.09119,4.791189,11.44369,0.0
20190501T0000,14.17119,5.3811893,10.461606,0.0
20190502T0000,18.65119,7.20119,13.499523,0.0
20190503T0000,21.31119,9.02119,16.158274,0.0
20190504T0000,22.33119,11.23119,17.448689,0.0
20190505T0000,20.59119,9.371189,14.627856,0.0
20190506T0000,17.46119,5.91119,11.6361885,0.0
20190507T0000,19.90119,7.65119,13.832858,0.6
20190508T0000,22.46119,9.831189,16.504938,0.0
20190509T0000,17.51119,8.461189,14.042857,4.2
20190510T0000,11.291189,4.5911894,8.129523,14.700001
20190511T0000,19.38119,8.48119,13.97619,0.0
20190512T0000,22.58119,10.881189,17.187857,0.0
20190513T0000,22.851189,13.381189,17.80119,0.0
20190514T0000,21.64119,12.4711895,16.834524,0.0
20190515T0000,18.73119,10.89119,14.447024,0.0
20190516T0000,12.51119,6.19119,9.625357,0.70000005
20190517T0000,15.4711895,4.11119,9.91119,0.0
20190518T0000,17.14119,7.8511896,11.787023,0.0
20190519T0000,12.7211895,2.8211894,7.3616066,0.0
20190520T0000,14.99119,2.8511896,8.96119,3.9999998
20190521T0000,15.121189,3.1011896,9.45119,0.2
20190522T0000,11.2211895,4.66119,8.279523,1.1
20190523T0000,11.31119,5.49119,8.140357,1.1
20190524T0000,17.01119,5.2711897,11.605355,0.0
20190525T0000,18.93119,10.45119,14.629108,0.0
20190526T0000,11.341189,4.2711897,7.9107738,3.1999998
20190527T0000,13.51119,2.7511897,8.3582735,1.6000001
20190528T0000,20.34119,7.9811897,14.029106,0.0
20190529T0000,21.701189,11.57119,17.679106,0.0
20190530T0000,23.30119,13.34119,18.536606,0.0
20190531T0000,22.951189,12.48119,17.780357,0.1
20190601T0000,21.50119,13.531189,18.314522,1.8000001
20190602T0000,22.79119,13.26119,18.957857,0.0
